"","match_ID","compound_name","elem_formula","LOBdbase_mz","peakgroup_mz","LOBdbase_ppm_match","peakgroup_rt","peakgroup_mzmin","peakgroup_mzmax","peakgroup_rtmin","peakgroup_rtmax","samples","LMG1401_004_QE003116","LMG1401_008_QE003117","LMG1401_009_QE003118","LMG1401_010_QE003119","PAL1314_Stn_E_3m_2Jan14_0.2um_QE003120","xcms_peakgroup","CAMERA_pseudospectrum","LOBdbase_frag_ID","LOBdbase_exact_parent_neutral_mass","lipid_class","species","major_adduct","FA_total_no_C","FA_total_no_DB","degree_oxidation","C1","C1x","C2a","C2b","C3c","C3f","C3r","C4","C5","C6a","C6b","casecodes","iso_C3r.match_ID","iso_C3f.match_ID","iso_C3c.match_ID","ms2_conf","ms2_present","neg_mode.conf","rm.flag_auto","rm.flag_manual"
"11211",202,"PC 40:5","C48H86N1O8P1",836.61638238,836.616688122123,-0.365450796173256,1002.90492066471,836.616265234753,836.616867438549,1001.79259899389,1004.27029014661,5,8.94822369477797,8.83564644276045,9.0347870971857,8.92105974674705,2.0238963255368,15750,12,38277,835.60910592,"IP_DAG","PC","[M+H]+",40,5,0,0,0,1,0,0,1,1,0,0,0,0,"C2a; C3f; C3r","202, 4085","201, 202","",NA,0,1,NA,0
"401",211,"SQDG 44:7","C53H88O12S1",966.63347524,966.634011530298,-0.554802116427856,1004.03827047216,966.63310286637,966.634263192932,1001.86984746125,1005.42486724139,5,19.7923643512155,6.54538430022916,4.39760182947659,5.79536716472912,4.79177471609572,20700,12,48819,948.59964965,"IP_DAG","SQDG","[M+NH4]+",44,7,0,1,0,0,0,1,0,0,0,0,0,0,"C1; C3c","","","210, 211",NA,0,1,NA,0
"529",216,"SQDG 46:6","C55H94O12S1",996.68042548,996.677974041072,2.4596037656544,1002.05655725117,996.66899949068,996.682473617924,994.008377078452,1008.58462353686,5,30.0592995117688,2.72554811259945,4.6459945535235,5.46418683922739,2.69180573995178,21538,12,49449,978.64659989,"IP_DAG","SQDG","[M+NH4]+",46,6,0,1,0,0,0,0,0,1,0,0,0,0,"C1; C3r","216, 772","","",NA,0,1,NA,0
"123",239,"SQDG 40:2","C49H90O12S1",920.64912532,920.649493527124,-0.399942946867036,999.593253986825,920.649270841338,920.650035329329,998.497178000279,999.825814724512,5,92.8048409158742,17.3598721297516,23.6608652562634,21.0111747312774,1.25849817013142,19003,12,47409,902.61529973,"IP_DAG","SQDG","[M+NH4]+",40,2,0,1,0,0,0,0,0,0,0,0,0,0,"C1","","","",NA,0,1,NA,0
"502",347,"MGDG 43:2","C52H96O10",898.73417563,898.732501516417,1.86274610270393,1103.23937551255,898.731000039487,898.733012482556,1099.42175131267,1110.0322732534,3,18.1600196001899,3.10244776506524,6.37687382868885,3.38802539060996,0.899318831847742,18154,17,55380,880.70035004,"IP_DAG","MGDG","[M+NH4]+",43,2,0,1,0,0,0,0,1,0,0,0,0,0,"C1; C3f","","345, 346, 347, 348","",NA,0,1,NA,0
"1045",351,"DGTS_DGTA 35:0","C45H87N1O7",754.65553129,754.656051527439,-0.689370735343255,1100.97399400283,754.65572556895,754.656220790133,1087.47407835347,1111.51306695043,5,NA,0.340230281056997,0.362172477405245,0.358397033096209,0.150418816415071,12550,17,15801,753.64825483,"IP_DAG","DGTS_DGTA","[M+H]+",35,0,0,1,0,0,0,0,1,0,0,0,0,0,"C1; C3f","","351, 352","",NA,0,1,NA,0
"45",372,"DGTS_DGTA 40:7","C50H83N1O7",810.62423113,810.624568055639,-0.415637266168835,971.410073051026,810.624549983073,810.624729467485,969.86445450059,972.576495698164,5,8.45715483830986,7.5955916073844,8.1938316578527,6.98326458348431,3.234555081461,14726,18,17201,809.61695467,"IP_DAG","DGTS_DGTA","[M+H]+",40,7,0,0,0,1,0,0,1,1,0,0,0,0,"C2a; C3f; C3r","372, 998","372, 391","",0,2,1,NA,0
"11010",374,"MGDG 34:2","C43H78O10",772.59332491,772.593840487117,-0.667333123694173,977.135712989176,772.593679974813,772.593893802293,975.912858942794,978.24237118313,5,10.7730307501963,4.13025964744068,4.1715756416927,2.7694808454023,5.43482550522555,13215,18,53080,754.55949932,"IP_DAG","MGDG","[M+NH4]+",34,2,0,0,0,1,0,0,1,0,0,0,0,0,"C2a; C3f","","374, 375, 406, 407","",NA,0,1,NA,0
"23",376,"DGTS_DGTA 34:2","C44H81N1O7",736.60858105,736.608968331538,-0.525763000965889,976.963527117494,736.608506712929,736.609039141862,973.664828385145,978.24237118313,4,NA,0.292589293844191,0.665120927632557,0.44178455488606,0.867255165176334,11854,18,15601,735.60130459,"IP_DAG","DGTS_DGTA","[M+H]+",34,2,0,0,0,0,1,0,1,0,0,0,0,0,"C2b; C3f","","376, 386","",NA,0,1,NA,0
"1262",481,"MGDG 47:3","C56H102O10",952.78112587,952.780707568461,0.43903214207161,1133.07263423312,952.780426133855,952.780989003068,1132.34621765935,1133.79905080689,2,11.4974629302669,0.928765484288392,1.07122020181221,0.972521051705721,0.453594788763024,20222,20,56405,934.74730028,"IP_DAG","MGDG","[M+NH4]+",47,3,0,1,0,0,0,0,1,0,0,0,0,0,"C1; C3f","","479, 480, 481, 482","",NA,0,1,NA,0
